Title,Price,Rating,Colors,Size,Gender,Timestamp
T-shirt 2,1634400.0,3.9,3,M,Women,2025-07-25T06:26:12.240314
Hoodie 3,7950080.0,4.8,3,L,Unisex,2025-07-25T06:26:12.240418
Pants 4,7476960.0,3.3,3,XL,Men,2025-07-25T06:26:12.240491
Outerwear 5,5145440.0,3.5,3,XXL,Women,2025-07-25T06:26:12.240561
Jacket 6,2453920.0,3.3,3,S,Unisex,2025-07-25T06:26:12.240631
Crewneck 7,6892000.0,4.3,3,M,Men,2025-07-25T06:26:12.240700
T-shirt 8,7802560.0,3.1,3,L,Women,2025-07-25T06:26:12.240771
Hoodie 9,3972160.0,3.2,3,XL,Unisex,2025-07-25T06:26:12.240850
Pants 10,3100160.0,4.2,3,XXL,Men,2025-07-25T06:26:12.240920
Jacket 12,8527840.0,3.9,3,M,Unisex,2025-07-25T06:26:12.241057
Crewneck 13,5447200.0,3.2,3,L,Men,2025-07-25T06:26:12.241123
T-shirt 14,3248800.0,3.8,3,XL,Women,2025-07-25T06:26:12.241190
Hoodie 15,2184160.0,3.6,3,XXL,Unisex,2025-07-25T06:26:12.241262
Outerwear 17,841600.0,3.8,3,M,Women,2025-07-25T06:26:12.241415
Jacket 18,5500000.0,3.8,3,L,Unisex,2025-07-25T06:26:12.241482
Crewneck 19,1308960.0,3.6,3,XL,Men,2025-07-25T06:26:12.241547
T-shirt 20,1325600.0,3.4,3,XXL,Women,2025-07-25T06:26:12.241618
T-shirt 2,1634400.0,3.9,3,M,Women,2025-07-25T06:26:12.610876
Hoodie 3,7950080.0,4.8,3,L,Unisex,2025-07-25T06:26:12.610945
Pants 4,7476960.0,3.3,3,XL,Men,2025-07-25T06:26:12.611009
Outerwear 5,5145440.0,3.5,3,XXL,Women,2025-07-25T06:26:12.611073
Jacket 6,2453920.0,3.3,3,S,Unisex,2025-07-25T06:26:12.611136
Crewneck 7,6892000.0,4.3,3,M,Men,2025-07-25T06:26:12.611197
T-shirt 8,7802560.0,3.1,3,L,Women,2025-07-25T06:26:12.611259
Hoodie 9,3972160.0,3.2,3,XL,Unisex,2025-07-25T06:26:12.611327
Pants 10,3100160.0,4.2,3,XXL,Men,2025-07-25T06:26:12.611394
Jacket 12,8527840.0,3.9,3,M,Unisex,2025-07-25T06:26:12.611521
Crewneck 13,5447200.0,3.2,3,L,Men,2025-07-25T06:26:12.611582
T-shirt 14,3248800.0,3.8,3,XL,Women,2025-07-25T06:26:12.611643
Hoodie 15,2184160.0,3.6,3,XXL,Unisex,2025-07-25T06:26:12.611707
Outerwear 17,841600.0,3.8,3,M,Women,2025-07-25T06:26:12.611836
Jacket 18,5500000.0,3.8,3,L,Unisex,2025-07-25T06:26:12.611896
Crewneck 19,1308960.0,3.6,3,XL,Men,2025-07-25T06:26:12.611956
T-shirt 20,1325600.0,3.4,3,XXL,Women,2025-07-25T06:26:12.612016
T-shirt 2,1634400.0,3.9,3,M,Women,2025-07-25T06:26:13.454469
Hoodie 3,7950080.0,4.8,3,L,Unisex,2025-07-25T06:26:13.454542
Pants 4,7476960.0,3.3,3,XL,Men,2025-07-25T06:26:13.454616
Outerwear 5,5145440.0,3.5,3,XXL,Women,2025-07-25T06:26:13.454687
Jacket 6,2453920.0,3.3,3,S,Unisex,2025-07-25T06:26:13.454755
Crewneck 7,6892000.0,4.3,3,M,Men,2025-07-25T06:26:13.454823
T-shirt 8,7802560.0,3.1,3,L,Women,2025-07-25T06:26:13.454891
Hoodie 9,3972160.0,3.2,3,XL,Unisex,2025-07-25T06:26:13.454959
Pants 10,3100160.0,4.2,3,XXL,Men,2025-07-25T06:26:13.455033
Jacket 12,8527840.0,3.9,3,M,Unisex,2025-07-25T06:26:13.455170
Crewneck 13,5447200.0,3.2,3,L,Men,2025-07-25T06:26:13.455236
T-shirt 14,3248800.0,3.8,3,XL,Women,2025-07-25T06:26:13.455305
Hoodie 15,2184160.0,3.6,3,XXL,Unisex,2025-07-25T06:26:13.455373
Outerwear 17,841600.0,3.8,3,M,Women,2025-07-25T06:26:13.455672
Jacket 18,5500000.0,3.8,3,L,Unisex,2025-07-25T06:26:13.455764
Crewneck 19,1308960.0,3.6,3,XL,Men,2025-07-25T06:26:13.455847
T-shirt 20,1325600.0,3.4,3,XXL,Women,2025-07-25T06:26:13.455921
T-shirt 2,1634400.0,3.9,3,M,Women,2025-07-25T06:26:13.757423
Hoodie 3,7950080.0,4.8,3,L,Unisex,2025-07-25T06:26:13.757498
Pants 4,7476960.0,3.3,3,XL,Men,2025-07-25T06:26:13.757566
Outerwear 5,5145440.0,3.5,3,XXL,Women,2025-07-25T06:26:13.757633
Jacket 6,2453920.0,3.3,3,S,Unisex,2025-07-25T06:26:13.757701
Crewneck 7,6892000.0,4.3,3,M,Men,2025-07-25T06:26:13.757765
T-shirt 8,7802560.0,3.1,3,L,Women,2025-07-25T06:26:13.757826
Hoodie 9,3972160.0,3.2,3,XL,Unisex,2025-07-25T06:26:13.757896
Pants 10,3100160.0,4.2,3,XXL,Men,2025-07-25T06:26:13.757963
Jacket 12,8527840.0,3.9,3,M,Unisex,2025-07-25T06:26:13.758092
Crewneck 13,5447200.0,3.2,3,L,Men,2025-07-25T06:26:13.758153
T-shirt 14,3248800.0,3.8,3,XL,Women,2025-07-25T06:26:13.758215
Hoodie 15,2184160.0,3.6,3,XXL,Unisex,2025-07-25T06:26:13.758286
Outerwear 17,841600.0,3.8,3,M,Women,2025-07-25T06:26:13.758427
Jacket 18,5500000.0,3.8,3,L,Unisex,2025-07-25T06:26:13.758493
Crewneck 19,1308960.0,3.6,3,XL,Men,2025-07-25T06:26:13.758559
